ID,lon,lat
1,17.2246880055,40.4759368116
2,17.2252314121,40.4771280294
3,17.2255109411,40.4767264362
4,17.2252877921,40.4767903555
5,17.2257157004,40.4782095829
6,17.225547412,40.4770555034
7,17.2259729057,40.4780573002
8,17.2263499356,40.4790118864
9,17.2261982964,40.4784168197
10,17.2266260017,40.4767137865
11,17.226426909,40.4778020869
12,17.2267017858,40.4783435891
13,17.2267224697,40.4790823277
14,17.2267994721,40.4786679955
15,17.2270901958,40.4796455971
16,17.2267484623,40.4777509626
17,17.2265917027,40.4773095531
18,17.2269740688,40.4780669938
19,17.2274753884,40.4775341204
20,17.2267186759,40.4768238949
21,17.2271528285,40.4792826614
22,17.227259384,40.4789738167
23,17.2269185156,40.477069693
24,17.2271729304,40.4768229203
25,17.2271021255,40.4783441233
26,17.2272972229,40.4785556494
27,17.2271311659,40.4783930016
28,17.2272513586,40.478308853
29,17.2274917398,40.4793653827
30,17.2272782982,40.4781639811
31,17.2273051893,40.4780035963
32,17.227410814,40.4781847493
33,17.2274153175,40.4781004286
34,17.2274156981,40.4779657917
35,17.2275233832,40.4787274464
36,17.2276222136,40.4784024207
37,17.2275230349,40.4780877338
38,17.2275233542,40.4778835868
39,17.2277161939,40.4789445137
40,17.2279597126,40.4785372621
41,17.2278666761,40.4794375638
42,17.2277869692,40.4792250928
43,17.2275406739,40.4780090868
44,17.2277192654,40.4779734828
45,17.2279840188,40.4796072482
46,17.2276919436,40.4762560412
47,17.227777954,40.4756876441
48,17.2277826841,40.4769696006
49,17.2277869217,40.4767423554
50,17.2280855417,40.4789672835
51,17.2280791247,40.4780872944
52,17.2279458979,40.4778504195
53,17.2282502136,40.4791842767
54,17.2281042424,40.4778698267
55,17.2280829888,40.4777567738
56,17.2280732887,40.4770294208
57,17.2281563651,40.4765545399
58,17.2281963966,40.4778156737
59,17.2281952724,40.4776845657
60,17.2283523863,40.4788325649
61,17.22851428,40.478620884
62,17.2283546624,40.4780268392
63,17.2283938968,40.4782087599
64,17.2283427631,40.4772039007
65,17.2282533505,40.4768159705
66,17.2283200877,40.4777248351
67,17.2283038315,40.4776093709
68,17.228593237,40.4786886213
69,17.2284350061,40.4776556944
70,17.2284074772,40.477522549
71,17.2285592508,40.4758759669
72,17.2283725764,40.4753872196
73,17.2285701116,40.4778514481
74,17.2286085882,40.478050996
75,17.2283637977,40.4765774287
76,17.2284564097,40.4764187698
77,17.2286155148,40.4774610403
78,17.2288273856,40.4766135189
79,17.2286851508,40.4777410166
80,17.2291345821,40.4781534508
81,17.2287835899,40.4778989981
82,17.2287969235,40.4763932132
83,17.228728009,40.4761587546
84,17.2289356907,40.4775084349
85,17.2294956724,40.476713552
86,17.2289711393,40.4777424754
87,17.2287788328,40.4755421112
88,17.2287981965,40.4751820773
89,17.2292812106,40.4777567445
90,17.2296289006,40.4772926031
91,17.2290865074,40.4761876288
92,17.2290433185,40.475959838
93,17.2290481468,40.47582875
94,17.2291888799,40.4754196677
95,17.2291786936,40.4750197162
96,17.2292393142,40.47578906
97,17.2293589703,40.4762871118
98,17.2298399171,40.4773743556
99,17.23313838,40.47590639
99,17.23258318,40.47608266
99,17.23202979,40.47626235
99,17.23147637,40.47644199
99,17.2309653,40.47668005
99,17.23047232,40.47694302
99,17.23009065,40.47729392
99,17.22972524,40.47765851
99,17.2336871,40.47582277
99,17.23423914,40.47564069
99,17.2316369636,40.4763898729
100,17.229498212,40.4756802495
101,17.2295728002,40.4749555058
102,17.2302741827,40.4744492089
103,17.2294909404,40.4759947144
104,17.2296837834,40.4761090675
105,17.2296824207,40.4757579944
106,17.2296656344,40.4756099907
107,17.2296569288,40.4754597551
108,17.2297275924,40.4759294886
109,17.2299276175,40.4757498341
110,17.2297892715,40.4755589744
111,17.2299467996,40.4754960696
112,17.2299067968,40.4749812475
113,17.2300356901,40.4748287046
114,17.2306431668,40.4766226485
115,17.2300013253,40.4752743499
116,17.2300886747,40.4754337753
117,17.2301299763,40.4749800475
118,17.2304554646,40.4756991755
119,17.2302325128,40.4753599365
120,17.2304765056,40.4747076824
121,17.2307022442,40.4754129307
122,17.2304569282,40.4752401053
123,17.2305430069,40.4750828701
124,17.2306541043,40.4751351889
125,17.2309490327,40.4761224069
126,17.231078622,40.4757455273
127,17.2308964919,40.475050222
128,17.230951071,40.4746225838
129,17.2308399152,40.4744304547
130,17.2314563774,40.4761358588
131,17.2312054123,40.4751446711
132,17.2311054647,40.4749770364
133,17.2310972462,40.47488367
134,17.2311498762,40.4747400206
135,17.2310763855,40.4743873814
136,17.2311202329,40.4742360006
137,17.2312452842,40.4753577171
138,17.2312110988,40.4749399993
139,17.2311777755,40.4745733044
140,17.231289461,40.4744000321
141,17.2313339862,40.4749742876
142,17.2313342635,40.4748841174
143,17.2313177385,40.474763198
144,17.2312327517,40.4740248536
145,17.231467647,40.4738026063
146,17.2315925061,40.4757475226
147,17.2314037706,40.4754753868
148,17.2313284772,40.4742392232
149,17.2312744242,40.474114494
150,17.2317519822,40.4752296873
151,17.2315034528,40.4749791717
152,17.2315733363,40.4747429683
153,17.2315719993,40.4739082822
154,17.2316079024,40.4744490543
155,17.2319051113,40.475928391
156,17.2318359378,40.4756196429
157,17.2318097978,40.4746028877
158,17.2318601254,40.4748463919
159,17.2320888961,40.4754966784
160,17.2321524486,40.4758171785
161,17.2319440094,40.4746885378
162,17.2321298793,40.4744357331
163,17.2318225861,40.473721655
164,17.2320401519,40.4735452126
165,17.2320169928,40.4749462813
166,17.2321422345,40.4736846391
167,17.231922233,40.473845065
168,17.2323228019,40.4753616895
169,17.2324727924,40.4749504613
170,17.2320239907,40.4739724615
171,17.2322356753,40.4737928246
172,17.2324034301,40.4757139264
173,17.2322191047,40.4741819578
174,17.2322617287,40.473948663
175,17.2326942169,40.4756072324
176,17.2324824568,40.4742567259
177,17.2323525387,40.4734925808
178,17.2326166661,40.4732911407
179,17.2324497628,40.4736176523
180,17.2325309893,40.4740257659
181,17.2325246041,40.4738327964
182,17.2325431662,40.4737373274
183,17.2327371266,40.474407437
184,17.2326089485,40.4741928985
185,17.2327948142,40.4754342562
186,17.2326922842,40.4753138075
187,17.2328222869,40.4736800271
188,17.2328267625,40.4740821329
189,17.2330110168,40.4754933959
190,17.2330059249,40.4751592414
191,17.2332869004,40.4747870524
192,17.233571651,40.4753117217
193,17.2331103873,40.4741076658
194,17.2331120888,40.4739329104
195,17.2329998748,40.4732625784
196,17.2331238876,40.4731941777
197,17.2329140417,40.4734393062
198,17.2330630618,40.4734921891
199,17.2330818375,40.4734041254
200,17.2330260116,40.4733366385
201,17.233191277,40.4733060556
202,17.233164003,40.4734375344
203,17.2333326319,40.4740033022
204,17.2334528372,40.4737406261
205,17.2334355545,40.4743499706
206,17.2332898067,40.4734102391
207,17.2332368735,40.4734918422
208,17.233350563,40.4732885033
209,17.2333738081,40.4731853762
210,17.2335013736,40.4734439601
211,17.2334705287,40.4741789057
212,17.2336943604,40.4739757504
213,17.233809698,40.4741974445
214,17.2333509847,40.4730723735
215,17.2336230281,40.4729641972
216,17.2338497364,40.4749453001
217,17.2341160216,40.4746280459
218,17.2336762306,40.473560057
219,17.2338141193,40.4734632199
220,17.2337332475,40.4735884585
221,17.2341100484,40.4754125974
222,17.234361663,40.4750674217
223,17.2338738082,40.4737037875
224,17.2338844736,40.4735570097
225,17.2340279568,40.4739359907
226,17.2340064937,40.4738032991
227,17.234698335,40.4754853772
228,17.2342402579,40.4734183661
229,17.2343687245,40.473756743
230,17.2343177349,40.4742770052
231,17.2345518484,40.474535912
232,17.2346641732,40.4747392057
233,17.23476915,40.4744990261
234,17.2347977655,40.4749228564
235,17.2346291665,40.473551513
236,17.2353216392,40.4732212324
237,17.2348608459,40.4741080294
238,17.2350475771,40.4750937711
239,17.2349247343,40.4746962286
240,17.2353680577,40.4752391099
241,17.2359486805,40.4719460853
242,17.2358297444,40.4722153028
243,17.2358733577,40.47183156
244,17.236001874,40.4727959007
245,17.2364818489,40.472409978
246,17.2361924704,40.4733688712
247,17.2366553215,40.4729860355
248,17.236000601,40.4718371349
249,17.2364153281,40.4714108448
250,17.2363835618,40.4740162457
251,17.2368279097,40.4735556377
252,17.2365750555,40.4718205855
253,17.2370043374,40.4747602593
254,17.2370513503,40.4742763731
255,17.2368418833,40.4716148726
256,17.2368117348,40.4711385024
257,17.237010704,40.472166603
258,17.2371430912,40.4726130808
259,17.237708092,40.4722068764
260,17.2369543011,40.4711733456
261,17.2369115424,40.4710538576
262,17.2372948539,40.4731849476
263,17.2370487054,40.4710671322
264,17.2372328527,40.4708417191
265,17.2374957974,40.4738157034
266,17.2380367219,40.4733406148
267,17.2373426438,40.4710895177
268,17.237681855,40.4744021584
269,17.2382606757,40.4740594292
270,17.2383028595,40.4745278388
271,17.2378286128,40.4705732309
272,17.2379188226,40.4702192505
273,17.2377464794,40.4704867777
274,17.2381697078,40.4714341804
275,17.2383047433,40.470926666
276,17.2381454197,40.4698511237
277,17.238228341,40.4701711823
278,17.2385300435,40.4726591036
279,17.2389474733,40.4719921737
280,17.2388016924,40.4735844649
281,17.2392923143,40.4731175756
282,17.23779314,40.47474301
282,17.24659193,40.47572229
282,17.2459907,40.47571397
282,17.24538961,40.47570144
282,17.24478868,40.47568461
282,17.23885464,40.47442101
282,17.24418776,40.47566777
282,17.24358683,40.47565092
282,17.24299897,40.47569816
282,17.24240158,40.47564571
282,17.23837469,40.47462624
282,17.24180418,40.47559326
282,17.24060722,40.47550521
282,17.24000792,40.47546754
282,17.23940862,40.47542986
282,17.24719317,40.4757306
282,17.23821002,40.47535448
282,17.23765196,40.47523382
282,17.23705095,40.47521898
282,17.23665154,40.47498969
282,17.23720624,40.47484298
282,17.24120652,40.47554289
282,17.23880932,40.47539217
282,17.2411685455,40.4755405034
283,17.238946136,40.4744041312
284,17.238972744,40.4741667985
285,17.2397121944,40.4738065972
286,17.2386474798,40.4701393808
287,17.2385249984,40.4699567632
288,17.2384796799,40.4696984017
289,17.2384467336,40.4694618167
290,17.2385887393,40.4695274843
291,17.2400519101,40.4742136358
292,17.2385523037,40.4697583355
293,17.2386004083,40.4698273783
294,17.2388165761,40.4697393135
295,17.2387107897,40.4696445456
296,17.2387068463,40.469361182
297,17.2388169302,40.4692369849
298,17.2389156083,40.4705379592
299,17.2391190777,40.4701728851
300,17.2388345938,40.4694787948
301,17.2388880717,40.469308927
302,17.239313928,40.4707677981
303,17.2390942058,40.4710983257
304,17.2389496209,40.4695718625
305,17.2390302044,40.4695224943
306,17.2392885542,40.4715219888
307,17.2391361034,40.4692161579
308,17.2390539673,40.4691453329
309,17.2391900007,40.46951532
310,17.239088497,40.4694201734
311,17.2403977495,40.4681939639
312,17.2403058534,40.4680761276
313,17.2392291654,40.4694256448
314,17.2392056317,40.4693503056
315,17.2397211864,40.4724464081
316,17.239742709,40.4718513136
317,17.2393201789,40.4697941716
318,17.2392638788,40.469307337
319,17.2397141797,40.4692932939
320,17.2396374147,40.4690243842
321,17.239901281,40.4700499602
322,17.2395366716,40.4704146295
323,17.2400930537,40.472975968
324,17.2397913068,40.4712634624
325,17.2400859514,40.4706322426
326,17.2400426113,40.4720946095
327,17.2404190741,40.4717294462
328,17.2402120876,40.4726580934
329,17.2405907332,40.4722930529
330,17.2404069189,40.473304098
331,17.2407621343,40.4728590149
332,17.240983493,40.4735880798
333,17.2400642915,40.4689968914
334,17.240620648,40.4683101209
335,17.2402605559,40.4696001899
336,17.2407219507,40.469128381
337,17.2404162281,40.4701251774
338,17.2406602666,40.4699186043
